part_id,part_name,motor_type,price
31500KZR602,BATTERY(GTZ6V),SCOOPY FI,302000.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",BEAT FI CW,50000.0
08234M99K8LZ0,SCOOTER GEAR OIL-SYN120MLREP,SCOOPY FI,19500.0
52400K25901,CUSHION ASSY RR,SCOOPY FI,264500.0
082342MBK0LZ0,"SPX2 10W30 SLMB 0,8L REP",SCOOPY FI,70500.0
08232M99K0LN5,"MPX2 10W30 SLMB 0,8L CAS",BEAT FI CW,59000.0
91202KVB901,OIL SEAL 20.8X52X7.5,BEAT SPORTY CW,8700.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",BEAT SPORTY CW,59000.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,BEAT SPORTY CW,16500.0
31926KYT901,SPARK PLUG U27EPR-9 (DS),BEAT SPORTY CW,23000.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,NEW BEAT CAST WHEEL,16500.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",NEW BEAT CAST WHEEL,50000.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",SCOOPY FASHION,50000.0
07019LCL018,ANGIN  NITROGEN SET,BEAT SPORTY CBS ISS,10000.0
23100KZRBA0,BELT DRIVE KIT,NEW VARIO TECHNO PGM FI,200500.0
02722LCL12,BAUD / RING,VARIO 125 CBS,1000.0
45517K81N30,"HOLDER, MIRROR",VARIO 125 CBS,27000.0
AHGK0010014,HONDA LEATHER KEYCHAIN,BeAT Sporty CBS ISS Deluxe,57000.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,BeAT Sporty CBS ISS Deluxe,16500.0
43130KZL930,BRAKE SHOE,BeAT Sporty CBS ISS Deluxe,55500.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,BEAT CW FI MMC,16500.0
082342MBK0LZ0,"SPX2 10W30 SLMB 0,8L REP",ADV150 ABS,70500.0
08234M99K8LZ0,SCOOTER GEAR OIL-SYN120MLREP,ADV150 ABS,19500.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",SCOOPY PRESTIGE,0.0
34901KFVB51,BULB HEADLIGHT (12V 25/25W),BEAT SPORTY CW,19000.0
12391KZR600,"GASKET, CYLINDER HEAD COVER",SPACY CW HELM IN FI,46500.0
08CLAH50500,HONDA M/C GENUINE COOLANT,SPACY CW HELM IN FI,16500.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,BeAT Street,16500.0
AHGK0010014,HONDA LEATHER KEYCHAIN,BeAT Street,114000.0
43130KZL930,BRAKE SHOE,VARIO TECHNO 125 FI ISS,55500.0
42711K59A12,TIRE RR TL (90/90-14),VARIO TECHNO 125 FI ISS,297000.0
06976PENTIL,PENTIL TUBLES,VARIO TECHNO 125 FI ISS,10000.0
16895LCLBAUDCVTT,BAUD CVT,BEAT SPORTY CBS ISS,2000.0
131A1K81P00,PISTON KIT STD,BEAT SPORTY CBS ISS,114000.0
91202KVB901,OIL SEAL 20.8X52X7.5,BEAT SPORTY CBS ISS,8700.0
12100K25600,CYLINDER COMP.,BEAT SPORTY CBS ISS,445500.0
14520GFC771,LIFTER ASSY. TENSIONER,BEAT SPORTY CBS ISS,76000.0
12191K44V00,"GASKET, CYLINDER",BEAT SPORTY CBS ISS,9700.0
12251GGC901,GASKET CYLINDER HEAD,BEAT SPORTY CBS ISS,14500.0
147A1KVY900,VALVE SET,BEAT SPORTY CBS ISS,65000.0
12209GB4682,SEAL VLV. STEM,BEAT SPORTY CBS ISS,12000.0
082342MBK0LZ0,"SPX2 10W30 SLMB 0,8L REP",BEAT SPORTY CBS ISS,70500.0
06141KVB505,CAM CHAIN KIT,BEAT SPORTY CBS ISS,116500.0
31916KRM841,SPARK PLUG CPR8EA9 (NGK),BEAT SPORTY CBS ISS,23000.0
44711KVB930,44711KVB931,BEAT SPORTY CW,133500.0
